URL_Length,Domain_Length,Path_Length,Query_Length,Num_Dots,Num_Hyphens,Num_Underscores,Num_Slashes,Num_Digits,Num_Special_Chars,Num_Subdomains,Has_IP,Has_HTTPS,Has_At_Symbol,Has_Prefix_Suffix,Has_Redirection,Tiny_URL,Suspicious_Keyword_Count,Contains_Login,Contains_Verify,Contains_Update,Contains_Bank,Contains_Secure,Entropy,label
55,48,0,0,3,5,0,2,2,11,2,0,0,0,1,0,0,0,0,0,0,0,0,4.3833,1
28,21,0,0,3,1,0,2,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,3.9233,0
25,18,0,0,2,0,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0235,0
20,13,0,0,2,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5842,0
31,24,0,0,2,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0266,0
34,27,0,0,2,0,0,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0545,1
33,26,0,0,2,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0289,0
20,13,0,0,3,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,3.6464,1
22,15,0,0,2,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3.8231,1
36,29,0,0,2,2,0,2,3,7,1,0,0,0,1,0,0,0,0,0,0,0,0,4.1835,1
28,21,0,0,2,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7979,0
29,22,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9783,1
37,30,0,0,3,0,0,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,4.1212,0
21,14,0,0,2,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7849,0
23,16,0,0,1,1,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,3.741,1
31,24,0,0,2,2,0,2,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,3.8489,1
17,10,0,0,2,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3.3372,1
41,34,0,0,3,0,0,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,4.0227,0
28,21,0,0,3,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,4.182,0
21,14,0,0,1,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3.749,1
23,16,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7081,1
24,17,0,0,2,0,0,2,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,3.8554,0
18,11,0,0,1,0,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3.7947,1
27,20,0,0,2,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9121,1
26,19,0,0,2,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9022,0
13,6,0,0,1,0,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3.1808,1
32,25,0,0,2,2,0,2,5,7,1,0,0,0,1,0,0,0,0,0,0,0,0,4.0778,1
28,21,0,0,2,0,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,3.8249,0
24,17,0,0,2,0,0,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3.7721,1
20,13,0,0,2,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3.6219,0
22,15,0,0,2,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8797,0
38,31,0,0,2,2,0,2,5,7,1,0,0,0,1,0,0,0,0,0,0,0,0,4.1658,1
30,23,0,0,2,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3.9362,1
18,11,0,0,2,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4613,0
35,28,0,0,3,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,4.022,0
