Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards
setaccess.webflow.io,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
sethsbananacam.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
snip.ly,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0
the100prosystems.com,0,0,1,8,0,0,0,0,0,1,0,0,1,0,1,0
asabagreen.com,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0
friendlycabdavis.com,0,0,1,8,0,0,0,0,0,1,0,1,1,0,1,0
nicolacirilli.it,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
mail.redik.com.au,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0
stolizaparketa.ru,0,0,1,7,0,0,0,0,0,1,1,1,0,0,1,0
detes.sk,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
itaucomvoce.com,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
khairamakeup.co.id,0,0,1,7,0,0,0,0,0,1,0,0,0,0,1,0
pitchfork.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0
deskjump.ml,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0
pmm.ac.in,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0
espace-client.net,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
gov.uk,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0
fareast.qa,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0
fifohbibou.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0
mail.oficinas-valencia.com,0,0,1,3,0,0,0,1,0,0,0,1,0,0,1,0
amazon.de.p122421.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
165.22.103.235,1,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0
centromusicalpaternense.es,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0
celebshine.com,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
mailgcccdeduowa.my-free.website,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0
mathbariatimes.com,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,1
ebay.co.uk.2912168371646.bid,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
touristpeople.com.bd,0,0,1,6,0,0,0,0,0,0,1,1,0,0,1,0
paypal.a2fb.top,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
ronaldjamesgroup.co,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0
bcpzonasegurabeta.viabcp.com.luckybonu.com,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
wer.joomla.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0
hideuri.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
services.runescape.com-rss.me,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1
waytoketo.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
paypalsigninfo.deisemelo.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
bgnmedtex.com,0,0,1,5,0,0,1,0,0,1,0,1,1,1,1,1
biced.iainbukittinggi.ac.id,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0
mail.schoonheidssalonlafinesse.nl,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0
icicibank.com,0,0,1,6,0,0,0,0,0,1,0,1,0,0,1,0
yadadikh.com,0,1,1,3,0,0,0,0,0,0,0,1,0,0,1,0
europa.eu,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0
storage.googleapis.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0
sknaquatech.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0
desdeelamor.com,0,0,1,6,0,0,0,0,0,1,0,1,0,0,1,0
osool-eg.com,0,0,1,5,0,0,0,1,0,0,0,0,0,0,1,0
learnseo.co.il,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0
afandoublu.gr,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0
yoho.com.tw,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,1
arsalanconstructioncompany.com,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0
pppossm2janm.godaddysites.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
sc4nemzytch.universe.wf,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0
hixinsite.com,0,0,1,9,0,0,0,0,0,1,1,0,0,0,1,0
nordichairistanbul.com,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0
chat-whatsapp-grub.freetcp.com,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
agro-hotel.com,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
pedestal.co.il,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0
wilsonvaluation602-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,0,0,1,0
speedy.com.pk,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
freedomlandscape.net,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0
betasusgiris11.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0
handmadebyamber.ca,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
solutionsksa.com,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0
mailboxflixsupp.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0
mpparagon.com,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0
summerland.cl,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
amoory.com,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
malerikonservator.se,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
u1566201.ct.sendgrid.net,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0
nef.com.pk,0,0,1,8,0,0,0,0,0,1,1,1,0,0,1,0
itsallaboutthetubmans.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0
anjoe.com,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0
baleshwerbabaonline.com,0,0,1,8,0,0,0,0,0,1,0,0,0,0,1,0
secureline-helpdesk.com,0,0,0,2,0,0,0,1,0,0,1,1,0,0,1,0
sucursalbancolombiapesonal.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
cartoworld.co.ke,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0
getactive365.com,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0
quarentenamagazine.com,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1
jabezrealtyservices.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
berkshirelnp.org,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0
ascmgpr.ir,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0
pd-iskra-lj.si,0,0,1,5,0,0,0,1,1,1,1,1,1,0,1,0
wdestaques19.venhaaproveitaressanovidade.com,0,0,1,5,0,0,0,0,1,1,1,1,0,0,1,0
secure.informations.ninjamarketingman.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0
fb-recovery-10000076923-it.tk,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1
mall.ie,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0
ducks.pt,0,0,0,2,0,0,0,0,1,1,1,1,0,0,1,0
grupocamco.cl,0,0,1,6,0,0,0,0,0,1,0,1,0,0,1,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0
knu.edu.af,0,1,1,10,0,0,0,0,0,0,0,0,0,0,1,0
reginout.com,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0
ingresovirtualcr.com,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1
useablevarex.com,0,0,1,5,0,0,1,0,0,1,0,1,1,1,1,1
pontosvoegol.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
okseurope.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0
presenteie-quem-merece.com,0,0,1,2,0,0,0,1,0,1,0,1,1,1,1,1
delgadaygordo.com,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0
allegro.pl,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,1
1drv.ms,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
nymag.com,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0
link-masuk-grup-bokep-terbaru-kk.000webhostapp.com,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
livetv.sx,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0
candlesgarden.com,0,0,1,6,0,0,0,0,0,1,0,1,0,0,1,0
remycare.com,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
forms.office.com,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0
csgoxfarm.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
nymag.com,0,0,1,10,0,0,0,0,0,1,0,0,0,0,1,1
genuinevivah.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0
freevksticksssss.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
ero-video.net,0,0,1,2,0,0,0,1,1,1,1,1,0,0,1,0
